analytic_id,parent_process_path,parent_process_name,process_path,process_name,process,user,severity,score
1,*,*,*,sdelete.exe,*,*,high,60
2,*,*,*,ftp.exe,*,*,med,30
2,*,*,*,tftp.exe,*,*,med,30
2,*,*,*,robocopy.exe,*,*,med,30
2,*,*,*,wget.exe,*,*,med,30
2,*,*,*,rdpclip.exe,*,*,med,30
3,*,*,*,powershell.exe,*hidden*,*,med,30
3,*,*,*,powershell.exe,*bypass*,*,med,30
3,*,*,*,powershell.exe,*noni*,*,med,30
3,*,*,*,powershell.exe,*-ec,*,med,30
3,*,*,*,powershell.exe,*$*=*,*,med,30
3,*,*,*,powershell.exe,*New-Object*,*,med,30
3,*,*,*,powershell.exe,*System.Net.WebClient*,*,med,30
3,*,*,*,powershell.exe,*-Exec*,*,med,30
3,*,*,*,powershell.exe,*Unrestricted*,*,med,30
3,*,*,*,powershell.exe,*ExecutionPolicy*,*,med,30
3,*,*,*,powershell.exe,*add*,*,med,30
3,*,*,*,powershell.exe,*-EncodedCommand**,*,med,30
3,*,*,*,powershell.exe,*-enc*,*,med,30
4,*,*,*,schtasks.exe,*,*,low,10
5,*,*,*,schtasks.exe,*delete*,*,med,30
6,*,*,*,InstallUtil.exe,*,*,low,10
7,*users*,*,*,svchost.exe,*,*,high,60
7,*temp*,*,*,svchost.exe,*,*,high,60
7,*appdata*,*,*,svchost.exe,*,*,high,60
7,*userprofile*,*,*,svchost.exe,*,*,high,60
7,*documents*,*,*,svchost.exe,*,*,high,60
7,*users*,*,*,lsass.exe,*,*,high,60
7,*temp*,*,*,lsass.exe,*,*,high,60
7,*appdata*,*,*,lsass.exe,*,*,high,60
7,*userprofile*,*,*,lsass.exe,*,*,high,60
7,*documents*,*,*,lsass.exe,*,*,high,60
9,*,*,*,certutil.exe,*http*,*,high,60
10,*,*,*,certutil.exe,*decode*,*,high,60
10,*,*,*,certutil.exe,*encode*,*,high,60
11,*,*,*,vssadmin.exe,*delete*,*,high,60
11,*,*,*,wmic.exe,*delete*,*,high,60
12,*,*,*,net.exe,*delete*,*,low,30
12,*,*,*,net.exe,*share*,*,low,30
12,*,*,*,net1.exe,*delete*,*,low,30
12,*,*,*,net1.exe,*share*,*,low,30
13,*,*,*,reg.exe,*add* *Hidden* *REG_DWORD*,*,low,30
14,*,cmd.exe,*,wscript.exe,*,*,low,30
14,*,cmd.exe,*,cscript.exe,*,*,low,30
15,*,*,*,netsh.exe,*,*,low,30
16,*,*,*,shutdown.exe,*,*,low,30
17,*,*,*,schtasks.exe,*shutdown.exe*,*,low,30
18,*,*explorer.exe,*,reg.exe,*,*,med,0
18,*,*,*,reg.exe,*,*,med,30
19,*,*,*windows*syswow64*,*,*,*,high,0
19,*,*,*windows*system32*,*,*,*,high,0
19,*,*,*,arp.exe,*,*,high,60
19,*,*,*,adaptertroubleshooter.exe,*,*,high,60
19,*,*,*,applicationframehost.exe,*,*,high,60
19,*,*,*,atbroker.exe,*,*,high,60
19,*,*,*,authhost.exe,*,*,high,60
19,*,*,*,autoworkplace.exe,*,*,high,60
19,*,*,*,axinstui.exe,*,*,high,60
19,*,*,*,backgroundtransferhost.exe,*,*,high,60
19,*,*,*,bdehdcfg.exe,*,*,high,60
19,*,*,*,bdeuisrv.exe,*,*,high,60
19,*,*,*,bdeunlockwizard.exe,*,*,high,60
19,*,*,*,bitlockerdeviceencryption.exe,*,*,high,60
19,*,*,*,bitlockerwizard.exe,*,*,high,60
19,*,*,*,bitlockerwizardelev.exe,*,*,high,60
19,*,*,*,bytecodegenerator.exe,*,*,high,60
19,*,*,*,camerasettingsuihost.exe,*,*,high,60
19,*,*,*,castsrv.exe,*,*,high,60
19,*,*,*,certenrollctrl.exe,*,*,high,60
19,*,*,*,checknetisolation.exe,*,*,high,60
19,*,*,*,clipup.exe,*,*,high,60
19,*,*,*,cloudexperiencehostbroker.exe,*,*,high,60
19,*,*,*,cloudnotifications.exe,*,*,high,60
19,*,*,*,cloudstoragewizard.exe,*,*,high,60
19,*,*,*,compmgmtlauncher.exe,*,*,high,60
19,*,*,*,compattelrunner.exe,*,*,high,60
19,*,*,*,computerdefaults.exe,*,*,high,60
19,*,*,*,credentialuibroker.exe,*,*,high,60
19,*,*,*,dfdwiz.exe,*,*,high,60
19,*,*,*,dwwin.exe,*,*,high,60
19,*,*,*,dataexchangehost.exe,*,*,high,60
19,*,*,*,defrag.exe,*,*,high,60
19,*,*,*,devicedisplayobjectprovider.exe,*,*,high,60
19,*,*,*,deviceeject.exe,*,*,high,60
19,*,*,*,deviceenroller.exe,*,*,high,60
19,*,*,*,devicepairingwizard.exe,*,*,high,60
19,*,*,*,deviceproperties.exe,*,*,high,60
19,*,*,*,disksnapshot.exe,*,*,high,60
19,*,*,*,dism.exe,*,*,high,60
19,*,*,*,displayswitch.exe,*,*,high,60
19,*,*,*,dmnotificationbroker.exe,*,*,high,60
19,*,*,*,dmomacpmo.exe,*,*,high,60
19,*,*,*,dpiscaling.exe,*,*,high,60
19,*,*,*,dsmusertask.exe,*,*,high,60
19,*,*,*,dxpserver.exe,*,*,high,60
19,*,*,*,edpcleanup.exe,*,*,high,60
19,*,*,*,eosnotify.exe,*,*,high,60
19,*,*,*,eap3host.exe,*,*,high,60
19,*,*,*,easpoliciesbrokerhost.exe,*,*,high,60
19,*,*,*,easeofaccessdialog.exe,*,*,high,60
19,*,*,*,ehstorauthn.exe,*,*,high,60
19,*,*,*,fxscover.exe,*,*,high,60
19,*,*,*,fxssvc.exe,*,*,high,60
19,*,*,*,fxsunatd.exe,*,*,high,60
19,*,*,*,filehistory.exe,*,*,high,60
19,*,*,*,fondue.exe,*,*,high,60
19,*,*,*,gamepanel.exe,*,*,high,60
19,*,*,*,genvalobj.exe,*,*,high,60
19,*,*,*,gettingstarted.exe,*,*,high,60
19,*,*,*,hostname.exe,*,*,high,60
19,*,*,*,icsentitlementhost.exe,*,*,high,60
19,*,*,*,infdefaultinstall.exe,*,*,high,60
19,*,*,*,installagent.exe,*,*,high,60
19,*,*,*,languagecomponentsinstallercomhandler.exe,*,*,high,60
19,*,*,*,launchtm.exe,*,*,high,60
19,*,*,*,launchwinapp.exe,*,*,high,60
19,*,*,*,legacynetuxhost.exe,*,*,high,60
19,*,*,*,licensemanagershellext.exe,*,*,high,60
19,*,*,*,licensingui.exe,*,*,high,60
19,*,*,*,locationnotificationwindows.exe,*,*,high,60
19,*,*,*,locationnotifications.exe,*,*,high,60
19,*,*,*,locator.exe,*,*,high,60
19,*,*,*,lockapphost.exe,*,*,high,60
19,*,*,*,lockscreencontentserver.exe,*,*,high,60
19,*,*,*,logonui.exe,*,*,high,60
19,*,*,*,lsaiso.exe,*,*,high,60
19,*,*,*,mdeserver.exe,*,*,high,60
19,*,*,*,mdmagent.exe,*,*,high,60
19,*,*,*,mdmappinstaller.exe,*,*,high,60
19,*,*,*,mrinfo.exe,*,*,high,60
19,*,*,*,mrt.exe,*,*,high,60
19,*,*,*,mschedexe.exe,*,*,high,60
19,*,*,*,magnify.exe,*,*,high,60
19,*,*,*,mbaeparsertask.exe,*,*,high,60
19,*,*,*,mdres.exe,*,*,high,60
19,*,*,*,mdsched.exe,*,*,high,60
19,*,*,*,migautoplay.exe,*,*,high,60
19,*,*,*,mpsigstub.exe,*,*,high,60
19,*,*,*,msspellcheckinghost.exe,*,*,high,60
19,*,*,*,muiunattend.exe,*,*,high,60
19,*,*,*,multidigimon.exe,*,*,high,60
19,*,*,*,musnotification.exe,*,*,high,60
19,*,*,*,musnotificationux.exe,*,*,high,60
19,*,*,*,napstat.exe,*,*,high,60
19,*,*,*,netstat.exe,*,*,high,60
19,*,*,*,narrator.exe,*,*,high,60
19,*,*,*,netcfgnotifyobjecthost.exe,*,*,high,60
19,*,*,*,netevtfwdr.exe,*,*,high,60
19,*,*,*,netproj.exe,*,*,high,60
19,*,*,*,netplwiz.exe,*,*,high,60
19,*,*,*,networkuxbroker.exe,*,*,high,60
19,*,*,*,openwith.exe,*,*,high,60
19,*,*,*,optionalfeatures.exe,*,*,high,60
19,*,*,*,pathping.exe,*,*,high,60
19,*,*,*,ping.exe,*,*,high,60
19,*,*,*,passwordonwakesettingflyout.exe,*,*,high,60
19,*,*,*,pickerhost.exe,*,*,high,60
19,*,*,*,pkgmgr.exe,*,*,high,60
19,*,*,*,pnpunattend.exe,*,*,high,60
19,*,*,*,pnputil.exe,*,*,high,60
19,*,*,*,presentationhost.exe,*,*,high,60
19,*,*,*,presentationsettings.exe,*,*,high,60
19,*,*,*,printbrmui.exe,*,*,high,60
19,*,*,*,printdialoghost.exe,*,*,high,60
19,*,*,*,printdialoghost3d.exe,*,*,high,60
19,*,*,*,printisolationhost.exe,*,*,high,60
19,*,*,*,proximityuxhost.exe,*,*,high,60
19,*,*,*,rdspnf.exe,*,*,high,60
19,*,*,*,rmactivate.exe,*,*,high,60
19,*,*,*,rmactivate_isv.exe,*,*,high,60
19,*,*,*,rmactivate_ssp.exe,*,*,high,60
19,*,*,*,rmactivate_ssp_isv.exe,*,*,high,60
19,*,*,*,route.exe,*,*,high,60
19,*,*,*,rdpsa.exe,*,*,high,60
19,*,*,*,rdpsaproxy.exe,*,*,high,60
19,*,*,*,rdpsauachelper.exe,*,*,high,60
19,*,*,*,reagentc.exe,*,*,high,60
19,*,*,*,recoverydrive.exe,*,*,high,60
19,*,*,*,register-cimprovider.exe,*,*,high,60
19,*,*,*,registeriepkeys.exe,*,*,high,60
19,*,*,*,relpost.exe,*,*,high,60
19,*,*,*,remoteposworker.exe,*,*,high,60
19,*,*,*,rmclient.exe,*,*,high,60
19,*,*,*,robocopy.exe,*,*,high,60
19,*,*,*,rpcping.exe,*,*,high,60
19,*,*,*,runlegacycplelevated.exe,*,*,high,60
19,*,*,*,runtimebroker.exe,*,*,high,60
19,*,*,*,sihclient.exe,*,*,high,60
19,*,*,*,searchfilterhost.exe,*,*,high,60
19,*,*,*,searchindexer.exe,*,*,high,60
19,*,*,*,searchprotocolhost.exe,*,*,high,60
19,*,*,*,secedit.exe,*,*,high,60
19,*,*,*,sensordataservice.exe,*,*,high,60
19,*,*,*,setieinstalleddate.exe,*,*,high,60
19,*,*,*,settingsynchost.exe,*,*,high,60
19,*,*,*,slidetoshutdown.exe,*,*,high,60
19,*,*,*,smartscreensettings.exe,*,*,high,60
19,*,*,*,sndvol.exe,*,*,high,60
19,*,*,*,snippingtool.exe,*,*,high,60
19,*,*,*,soundrecorder.exe,*,*,high,60
19,*,*,*,spaceagent.exe,*,*,high,60
19,*,*,*,sppextcomobj.exe,*,*,high,60
19,*,*,*,srtasks.exe,*,*,high,60
19,*,*,*,stikynot.exe,*,*,high,60
19,*,*,*,synchost.exe,*,*,high,60
19,*,*,*,sysreseterr.exe,*,*,high,60
19,*,*,*,systempropertiesadvanced.exe,*,*,high,60
19,*,*,*,systempropertiescomputername.exe,*,*,high,60
19,*,*,*,systempropertiesdataexecutionprevention.exe,*,*,high,60
19,*,*,*,systempropertieshardware.exe,*,*,high,60
19,*,*,*,systempropertiesperformance.exe,*,*,high,60
19,*,*,*,systempropertiesprotection.exe,*,*,high,60
19,*,*,*,systempropertiesremote.exe,*,*,high,60
19,*,*,*,systemsettingsadminflows.exe,*,*,high,60
19,*,*,*,systemsettingsbroker.exe,*,*,high,60
19,*,*,*,systemsettingsremovedevice.exe,*,*,high,60
19,*,*,*,tcpsvcs.exe,*,*,high,60
19,*,*,*,tracert.exe,*,*,high,60
19,*,*,*,tstheme.exe,*,*,high,60
19,*,*,*,tswbprxy.exe,*,*,high,60
19,*,*,*,tapiunattend.exe,*,*,high,60
19,*,*,*,taskmgr.exe,*,*,high,60
19,*,*,*,thumbnailextractionhost.exe,*,*,high,60
19,*,*,*,tokenbrokercookies.exe,*,*,high,60
19,*,*,*,tpminit.exe,*,*,high,60
19,*,*,*,tswpfwrp.exe,*,*,high,60
19,*,*,*,ui0detect.exe,*,*,high,60
19,*,*,*,upgraderesultsui.exe,*,*,high,60
19,*,*,*,useraccountbroker.exe,*,*,high,60
19,*,*,*,useraccountcontrolsettings.exe,*,*,high,60
19,*,*,*,usoclient.exe,*,*,high,60
19,*,*,*,utilman.exe,*,*,high,60
19,*,*,*,vssvc.exe,*,*,high,60
19,*,*,*,vaultcmd.exe,*,*,high,60
19,*,*,*,vaultsysui.exe,*,*,high,60
19,*,*,*,wfs.exe,*,*,high,60
19,*,*,*,wmpdmc.exe,*,*,high,60
19,*,*,*,wpdshextautoplay.exe,*,*,high,60
19,*,*,*,wscollect.exe,*,*,high,60
19,*,*,*,wsmanhttpconfig.exe,*,*,high,60
19,*,*,*,wsreset.exe,*,*,high,60
19,*,*,*,wudfhost.exe,*,*,high,60
19,*,*,*,wwahost.exe,*,*,high,60
19,*,*,*,wallpaperhost.exe,*,*,high,60
19,*,*,*,webcache.exe,*,*,high,60
19,*,*,*,werfault.exe,*,*,high,60
19,*,*,*,werfaultsecure.exe,*,*,high,60
19,*,*,*,winsat.exe,*,*,high,60
19,*,*,*,windows.media.backgroundplayback.exe,*,*,high,60
19,*,*,*,windowsactiondialog.exe,*,*,high,60
19,*,*,*,windowsanytimeupgrade.exe,*,*,high,60
19,*,*,*,windowsanytimeupgraderesults.exe,*,*,high,60
19,*,*,*,windowsanytimeupgradeui.exe,*,*,high,60
19,*,*,*,windowsupdateelevatedinstaller.exe,*,*,high,60
19,*,*,*,workfolders.exe,*,*,high,60
19,*,*,*,wpcmon.exe,*,*,high,60
19,*,*,*,acu.exe,*,*,high,60
19,*,*,*,aitagent.exe,*,*,high,60
19,*,*,*,aitstatic.exe,*,*,high,60
19,*,*,*,alg.exe,*,*,high,60
19,*,*,*,appidcertstorecheck.exe,*,*,high,60
19,*,*,*,appidpolicyconverter.exe,*,*,high,60
19,*,*,*,at.exe,*,*,high,60
19,*,*,*,attrib.exe,*,*,high,60
19,*,*,*,audiodg.exe,*,*,high,60
19,*,*,*,auditpol.exe,*,*,high,60
19,*,*,*,autochk.exe,*,*,high,60
19,*,*,*,autoconv.exe,*,*,high,60
19,*,*,*,autofmt.exe,*,*,high,60
19,*,*,*,baaupdate.exe,*,*,high,60
19,*,*,*,backgroundtaskhost.exe,*,*,high,60
19,*,*,*,bcastdvr.exe,*,*,high,60
19,*,*,*,bcdboot.exe,*,*,high,60
19,*,*,*,bcdedit.exe,*,*,high,60
19,*,*,*,bdechangepin.exe,*,*,high,60
19,*,*,*,bdeunlock.exe,*,*,high,60
19,*,*,*,bitsadmin.exe,*,*,high,60
19,*,*,*,bootcfg.exe,*,*,high,60
19,*,*,*,bootim.exe,*,*,high,60
19,*,*,*,bootsect.exe,*,*,high,60
19,*,*,*,bridgeunattend.exe,*,*,high,60
19,*,*,*,browser_broker.exe,*,*,high,60
19,*,*,*,bthudtask.exe,*,*,high,60
19,*,*,*,cacls.exe,*,*,high,60
19,*,*,*,calc.exe,*,*,high,60
19,*,*,*,cdpreference.exe,*,*,high,60
19,*,*,*,certreq.exe,*,*,high,60
19,*,*,*,certutil.exe,*,*,high,60
19,*,*,*,change.exe,*,*,high,60
19,*,*,*,changepk.exe,*,*,high,60
19,*,*,*,charmap.exe,*,*,high,60
19,*,*,*,chglogon.exe,*,*,high,60
19,*,*,*,chgport.exe,*,*,high,60
19,*,*,*,chgusr.exe,*,*,high,60
19,*,*,*,chkdsk.exe,*,*,high,60
19,*,*,*,chkntfs.exe,*,*,high,60
19,*,*,*,choice.exe,*,*,high,60
19,*,*,*,cipher.exe,*,*,high,60
19,*,*,*,cleanmgr.exe,*,*,high,60
19,*,*,*,cliconfg.exe,*,*,high,60
19,*,*,*,clip.exe,*,*,high,60
19,*,*,*,cmd.exe,*,*,high,60
19,*,*,*,cmdkey.exe,*,*,high,60
19,*,*,*,cmdl32.exe,*,*,high,60
19,*,*,*,cmmon32.exe,*,*,high,60
19,*,*,*,cmstp.exe,*,*,high,60
19,*,*,*,cofire.exe,*,*,high,60
19,*,*,*,colorcpl.exe,*,*,high,60
19,*,*,*,comp.exe,*,*,high,60
19,*,*,*,compact.exe,*,*,high,60
19,*,*,*,conhost.exe,*,*,high,60
19,*,*,*,consent.exe,*,*,high,60
19,*,*,*,control.exe,*,*,high,60
19,*,*,*,convert.exe,*,*,high,60
19,*,*,*,credwiz.exe,*,*,high,60
19,*,*,*,cscript.exe,*,*,high,60
19,*,*,*,csrss.exe,*,*,high,60
19,*,*,*,ctfmon.exe,*,*,high,60
19,*,*,*,cttune.exe,*,*,high,60
